instance,disjunctive terms,restart termination mode,restart termination notes,final termination mode,default cut generation iterations,default and disjunctive cut generation iterations
assign1-5-8,16,restart time limit,,stopped on time,11,10
bienst1,16,restart time limit,,stopped on time,14,4
breastcancer-regularized,16,python failure,could not convert string to float: 'Objective',,,
neos17,16,restart time limit,,stopped on nodes,10,12
gen-ip054,16,max number restarts,,stopped on nodes,10,10
gt2,16,restart time limit,,stopped on nodes,10,10
exp-1-500-5-5,16,max number restarts,,stopped on nodes,17,14
ej,16,max number restarts,,problem proven infeasible,12,3
pigeon-10,16,restart time limit,,stopped on time,10,3
22433,16,restart optimality,,stopped on nodes,20,20
neos-1425699,16,restart optimality,,stopped on nodes,2,15
neos-5192052-neckar,16,restart optimality,,stopped on nodes,5,5
neos-3611447-jijia,16,restart time limit,,stopped on time,20,6
neos-1442119,16,restart time limit,,stopped on time,10,4
nexp-50-20-1-1,16,max number restarts,,stopped on nodes,19,19
neos-2624317-amur,16,restart time limit,,stopped on time,9,8
glass4,16,python failure,lung,,,
sp150x300d,16,max number restarts,,stopped on nodes,20,17
neos-3610051-istra,16,restart time limit,,stopped on time,20,4
blend2,16,restart time limit,,stopped on nodes,20,20
bppc8-02,16,restart time limit,,stopped on nodes,10,19
control30-3-2-3,32,max number restarts,,stopped on nodes,14,14
k16x240b,16,restart time limit,,stopped on time,20,10
beavma,16,max number restarts,,stopped on nodes,14,14
gen-ip036,32,restart optimality,,stopped on nodes,10,11
bppc8-09,16,restart time limit,,stopped on time,11,6
neos-3046615-murg,16,max number restarts,,stopped on time,12,20
timtab1,16,max number restarts,,stopped on time,20,8
mik-250-20-75-2,16,restart time limit,,stopped on time,20,4
neos-3610173-itata,16,restart time limit,,stopped on time,20,3
supportcase16,32,restart optimality,,stopped on nodes,10,10
neos-3072252-nete,16,restart time limit,,stopped on nodes,11,11
neos-3610040-iskar,16,restart time limit,,stopped on time,17,10
prod2,16,restart time limit,,stopped on nodes,20,20
gr4x6,32,restart optimality,,stopped on nodes,5,5
timtab1CUTS,16,restart time limit,,stopped on time,20,4
markshare1,32,restart time limit,,stopped on nodes,10,10
aflow30a,16,restart time limit,,stopped on time,20,6
mas76,32,restart optimality,,solution,20,18
ran14x18-disj-8,32,python failure,only first line should possibly not match,,,
markshare_5_0,32,corrupted cuts,,stopped on nodes,,
b-ball,32,restart time limit,,stopped on nodes,20,19
neos-5140963-mincio,32,restart time limit,,stopped on nodes,10,12
neos5,32,restart time limit,,stopped on nodes,20,20
danoint,16,restart time limit,,stopped on time,10,2
neos-1430701,32,restart time limit,,stopped on nodes,10,10
mik-250-20-75-4,16,restart time limit,,stopped on time,20,4
rout,32,restart time limit,,stopped on nodes,20,20
opt1217,32,restart time limit,,stopped on time,20,3
23588,32,restart time limit,,stopped on time,18,3
pigeon-08,32,restart time limit,,stopped on time,10,4
flugpl,32,max number restarts,,stopped on nodes,20,20
gen-ip016,32,restart time limit,,stopped on nodes,10,10
ran12x21,32,restart time limit,,stopped on time,20,8
dcmulti,32,restart time limit,,stopped on time,12,3
mad,32,max number restarts,,stopped on time,10,8
enlight_hard,32,max number restarts,,stopped on nodes,20,20
ic97_tension,32,restart time limit,,stopped on time,16,3
pk1,32,restart time limit,,stopped on nodes,10,10
bienst2,32,restart time limit,,stopped on time,20,2
neos-911970,16,restart time limit,,stopped on time,20,1
neos-3046601-motu,32,restart time limit,,stopped on nodes,2,2
neos-2652786-brda,32,restart time limit,,stopped on time,10,2
r50x360,32,restart time limit,,stopped on time,20,3
graphdraw-domain,32,restart time limit,,stopped on time,20,4
enlight8,32,max number restarts,,stopped on nodes,20,20
p0201,32,restart time limit,,stopped on nodes,20,20
neos-2657525-crna,32,restart time limit,,stopped on time,8,10
pigeon-13,32,restart time limit,,stopped on time,10,2
gsvm2rl3,32,restart time limit,,stopped on time,20,11
rlp1,32,restart time limit,,stopped on time,11,8
prod1,32,restart time limit,,stopped on nodes,20,20
assign1-5-8,32,restart time limit,,stopped on time,11,6
newdano,32,restart time limit,,stopped on time,20,1
pigeon-10,32,restart time limit,,stopped on time,10,3
supportcase26,32,max number restarts,,stopped on time,20,10
mik-250-20-75-1,32,restart time limit,,stopped on time,19,3
noswot,32,restart time limit,,stopped on nodes,10,10
neos-3611447-jijia,32,restart time limit,,stopped on time,20,4
graphdraw-gemcutter,32,restart time limit,,stopped on nodes,10,10
blend2,32,corrupted cuts,,stopped on nodes,,
gt2,32,restart time limit,,stopped on nodes,10,10
misc07,32,restart time limit,,stopped on time,20,4
gen,32,restart optimality,,stopped on nodes,4,4
exp-1-500-5-5,32,python failure,"(990, 990)",,,
markshare_4_0,32,corrupted cuts,,stopped on nodes,,
neos18,32,python failure,"(3312, 3312)",,,
ran13x13,32,max number restarts,,stopped on time,20,7
bienst1,32,restart time limit,,stopped on time,14,1
breastcancer-regularized,32,python failure,could not convert string to float: 'Objective',,,
gen-ip021,32,restart time limit,,stopped on nodes,10,16
gen-ip054,32,corrupted cuts,,stopped on nodes,,
neos-1442119,32,restart time limit,,stopped on time,10,3
ej,32,corrupted cuts,,stopped on nodes,,
mas74,32,restart optimality,,solution,11,11
neos-2624317-amur,32,restart time limit,,stopped on nodes,9,9
22433,32,restart optimality,,stopped on nodes,20,20
neos-1425699,32,restart optimality,,stopped on nodes,2,5
neos-5192052-neckar,32,restart optimality,,stopped on nodes,5,5
neos17,32,restart time limit,,stopped on time,10,11
k16x240b,32,restart time limit,,stopped on time,20,7
nexp-50-20-1-1,32,max number restarts,,stopped on time,19,11
neos-3046615-murg,32,corrupted cuts,,stopped on time,,
glass4,32,python failure,lung,,,
neos-911970,32,restart time limit,,stopped on time,20,6
sp150x300d,32,restart time limit,,stopped on time,20,5
timtab1CUTS,32,restart time limit,,stopped on time,20,3
timtab1,32,restart time limit,,stopped on time,20,3
neos-3610051-istra,32,restart time limit,,stopped on time,20,2
mik-250-20-75-2,32,restart time limit,,stopped on time,20,5
beavma,32,restart time limit,,stopped on time,14,4
neos-3610040-iskar,32,restart time limit,,stopped on time,17,4
neos18,16,restart time limit,,stopped on time,10,2
neos-3072252-nete,32,restart time limit,,stopped on time,11,5
bppc8-02,32,restart time limit,,stopped on time,10,6
mik-250-20-75-3,32,restart time limit,,stopped on time,20,6
prod2,32,restart time limit,,stopped on time,20,7
neos-3610173-itata,32,restart time limit,,stopped on time,20,2
mik-250-20-75-4,32,restart time limit,,stopped on time,20,5
danoint,32,restart time limit,,stopped on time,10,2
supportcase20,32,restart time limit,,stopped on time,20,2
mik-250-20-75-5,32,restart time limit,,stopped on time,20,5
aflow30a,32,restart time limit,,stopped on time,20,2
bppc8-09,32,restart time limit,,stopped on time,11,1
