instance,disjunctive terms,restart,root gap closed,additional root gap closed,iterations
enlight8,4,12,0.09027583980911302,0.03688478641805964,20
enlight8,4,13,0.09161792144930916,0.001342081640196141,18
enlight8,4,14,0.07081173854404885,-0.020806182905260318,4
enlight8,4,15,0.07232108340260861,0.0015093448585597607,5
enlight8,4,16,0.0665318260383579,-0.005789257364250705,4
enlight8,4,17,0.07146001095937177,0.0049281849210138645,7
enlight8,4,18,0.09271268296032226,0.02125267200095049,15
enlight8,4,19,0.07433709376628732,-0.01837558919403494,8
enlight8,4,20,0.0905919681461709,0.016254874379883585,8
ran12x21,4,0,1.4255775454520142e-11,-6.2322085589536655,1
ran12x21,4,1,1.4255775454520142e-11,0.0,1
ran12x21,4,2,0.02968218563108568,0.029682185616829903,2
ran12x21,4,3,1.4255775454520142e-11,-0.029682185616829903,1
ran12x21,4,4,0.03244866804523349,0.03244866803097771,2
ran12x21,4,5,1.4255775454520142e-11,-0.03244866803097771,1
ran12x21,4,6,0.035315278908235756,0.03531527889397998,2
ran12x21,4,7,1.4255775454520142e-11,-0.03531527889397998,1
ran12x21,4,8,0.035315278908235756,0.03531527889397998,2
ran12x21,4,9,1.4255775454520142e-11,-0.03531527889397998,1
ran12x21,4,10,0.035315278908235756,0.03531527889397998,2
ran12x21,4,11,1.4255775454520142e-11,-0.03531527889397998,1
ran12x21,4,12,0.03532455850504972,0.035324558490793946,2
ran12x21,4,13,1.4255775454520142e-11,-0.035324558490793946,1
ran12x21,4,14,0.035315278908235756,0.03531527889397998,2
ran12x21,4,15,1.4255775454520142e-11,-0.03531527889397998,1
ran12x21,4,16,0.03531530008182417,0.035315300067568396,2
ran12x21,4,17,1.4255775454520142e-11,-0.035315300067568396,1
ran12x21,4,18,0.03531530008182417,0.035315300067568396,2
ran12x21,4,19,1.4255775454520142e-11,-0.035315300067568396,1
ran12x21,4,20,0.03533220576595449,0.035332205751698716,2
graphdraw-gemcutter,4,0,3.2383646137544165e-16,-1.5346270251023668,1
graphdraw-gemcutter,4,1,3.2383646137544165e-16,0.0,1
graphdraw-gemcutter,4,2,3.2383646137544165e-16,0.0,2
graphdraw-gemcutter,4,3,3.2383646137544165e-16,0.0,1
graphdraw-gemcutter,4,4,3.2383646137544165e-16,0.0,2
graphdraw-gemcutter,4,5,3.2383646137544165e-16,0.0,1
graphdraw-gemcutter,4,6,3.2383646137544165e-16,0.0,2
graphdraw-gemcutter,4,7,3.2383646137544165e-16,0.0,1
graphdraw-gemcutter,4,8,3.2383646137544165e-16,0.0,2
graphdraw-gemcutter,4,9,3.2383646137544165e-16,0.0,1
graphdraw-gemcutter,4,10,3.2383646137544165e-16,0.0,2
graphdraw-gemcutter,4,11,3.2383646137544165e-16,0.0,1
graphdraw-gemcutter,4,12,3.2383646137544165e-16,0.0,2
graphdraw-gemcutter,4,13,3.2383646137544165e-16,0.0,1
graphdraw-gemcutter,4,14,3.2383646137544165e-16,0.0,2
graphdraw-gemcutter,4,15,3.2383646137544165e-16,0.0,1
graphdraw-gemcutter,4,16,3.2383646137544165e-16,0.0,2
graphdraw-gemcutter,4,17,3.2383646137544165e-16,0.0,1
graphdraw-gemcutter,4,18,3.2383646137544165e-16,0.0,2
graphdraw-gemcutter,4,19,3.2383646137544165e-16,0.0,1
graphdraw-gemcutter,4,20,3.2383646137544165e-16,0.0,2
noswot,4,0,7.10545879925614e-15,-21.500095137920837,1
noswot,4,1,7.10545879925614e-15,0.0,1
noswot,4,2,7.10545879925614e-15,0.0,2
noswot,4,3,7.10545879925614e-15,0.0,1
noswot,4,4,7.10545879925614e-15,0.0,2
noswot,4,5,7.10545879925614e-15,0.0,1
noswot,4,6,3.55272939962807e-15,-3.55272939962807e-15,3
noswot,4,7,7.10545879925614e-15,3.55272939962807e-15,1
noswot,4,8,7.10545879925614e-15,0.0,4
noswot,4,9,1.065818819888421e-14,3.55272939962807e-15,2
noswot,4,10,1.421091759851228e-14,3.55272939962807e-15,2
noswot,4,11,7.10545879925614e-15,-7.10545879925614e-15,1
noswot,4,12,7.10545879925614e-15,0.0,9
noswot,4,13,7.10545879925614e-15,0.0,5
noswot,4,14,7.10545879925614e-15,0.0,3
noswot,4,15,3.55272939962807e-15,-3.55272939962807e-15,3
noswot,4,16,3.55272939962807e-15,0.0,7
noswot,4,17,3.55272939962807e-15,0.0,5
noswot,4,18,1.065818819888421e-14,7.10545879925614e-15,5
noswot,4,19,7.10545879925614e-15,-3.55272939962807e-15,6
noswot,4,20,7.10545879925614e-15,0.0,5
supportcase26,4,0,0.0,-2.81847075708824,1
supportcase26,4,1,0.0,0.0,1
supportcase26,4,2,4.975118235989908e-16,4.975118235989908e-16,2
supportcase26,4,3,4.975118235989908e-16,0.0,2
supportcase26,4,4,0.0,-4.975118235989908e-16,1
supportcase26,4,5,0.0,0.0,2
supportcase26,4,6,0.0,0.0,2
supportcase26,4,7,4.975118235989908e-16,4.975118235989908e-16,2
supportcase26,4,8,4.975118235989908e-16,0.0,2
supportcase26,4,9,4.975118235989908e-16,0.0,2
supportcase26,4,10,4.975118235989908e-16,0.0,2
supportcase26,4,11,0.0,-4.975118235989908e-16,1
supportcase26,4,12,4.975118235989908e-16,4.975118235989908e-16,2
supportcase26,4,13,0.0,-4.975118235989908e-16,2
supportcase26,4,14,4.975118235989908e-16,4.975118235989908e-16,2
supportcase26,4,15,0.0,-4.975118235989908e-16,2
supportcase26,4,16,4.975118235989908e-16,4.975118235989908e-16,2
supportcase26,4,17,0.0,-4.975118235989908e-16,2
supportcase26,4,18,0.0,0.0,2
supportcase26,4,19,0.0,0.0,2
supportcase26,4,20,0.0,0.0,1
ran13x13,4,0,1.517337375434107e-11,-4.801336018707114,1
ran13x13,4,1,1.517337375434107e-11,0.0,1
ran13x13,4,2,0.03431203821686471,0.03431203820169133,2
ran13x13,4,3,1.517337375434107e-11,-0.03431203820169133,1
ran13x13,4,4,0.0343120382168639,0.03431203820169052,2
ran13x13,4,5,1.517337375434107e-11,-0.03431203820169052,1
ran13x13,4,6,0.0343120382168639,0.03431203820169052,2
ran13x13,4,7,1.517337375434107e-11,-0.03431203820169052,1
ran13x13,4,8,0.0343120382168639,0.03431203820169052,2
ran13x13,4,9,1.517337375434107e-11,-0.03431203820169052,1
ran13x13,4,10,0.0343120382168639,0.03431203820169052,2
ran13x13,4,11,1.517337375434107e-11,-0.03431203820169052,1
ran13x13,4,12,0.0343120382168639,0.03431203820169052,2
ran13x13,4,13,1.517337375434107e-11,-0.03431203820169052,1
ran13x13,4,14,0.0343120382168639,0.03431203820169052,2
ran13x13,4,15,1.517337375434107e-11,-0.03431203820169052,1
ran13x13,4,16,0.0343120382168639,0.03431203820169052,2
ran13x13,4,17,1.517337375434107e-11,-0.03431203820169052,1
ran13x13,4,18,0.0343120382168639,0.03431203820169052,2
ran13x13,4,19,1.517337375434107e-11,-0.03431203820169052,1
ran13x13,4,20,0.0343120382168639,0.03431203820169052,2
p0201,4,0,2.986092334272328e-11,-9.290540540203395,1
p0201,4,1,2.986092334272328e-11,0.0,1
p0201,4,2,2.986092334272328e-11,0.0,2
p0201,4,3,2.986092334272328e-11,0.0,1
p0201,4,4,2.986092334272328e-11,0.0,2
p0201,4,5,2.874249066895483e-11,-1.1184326737684469e-12,2
p0201,4,6,2.986092334272328e-11,1.1184326737684469e-12,1
p0201,4,7,2.986092334272328e-11,0.0,2
p0201,4,8,3.0217346942056076e-11,3.564235993327975e-13,2
p0201,4,9,2.986092334272328e-11,-3.564235993327975e-13,1
p0201,4,10,2.986092334272328e-11,0.0,2
p0201,4,11,2.985969429582903e-11,-1.2290468942504688e-15,2
p0201,4,12,2.986092334272328e-11,1.2290468942504688e-15,2
p0201,4,13,2.8389754210304782e-11,-1.4711691324184962e-12,2
p0201,4,14,0.01578135997028223,0.015781359941892475,5
p0201,4,15,2.986215238961753e-11,-0.01578135994042008,3
p0201,4,16,2.986092334272328e-11,-1.2290468942504688e-15,3
p0201,4,17,2.986092334272328e-11,0.0,2
p0201,4,18,3.193063831264203e-11,2.0697149699187524e-12,2
p0201,4,19,0.04049395724833969,0.040493957216409054,4
p0201,4,20,3.0707736652862246e-11,-0.04049395721763196,2
gen-ip002,4,0,1.6009815296628365e-14,-85.20795402649276,1
gen-ip002,4,1,0.02347018513589433,0.02347018513587832,10
gen-ip002,4,2,0.027143411603666973,0.0036732264677726417,13
gen-ip002,4,3,0.030195116153538433,0.0030517045498714597,10
gen-ip002,4,4,0.033036116532493075,0.0028410003789546417,11
gen-ip002,4,5,0.03534011706996822,0.002304000537475148,10
gen-ip002,4,6,0.032538071773785454,-0.002802045296182769,10
gen-ip002,4,7,0.03371968166855082,0.001181609894765366,10
gen-ip002,4,8,0.03786999232585456,0.0041503106573037366,10
gen-ip002,4,9,0.035852328982433644,-0.0020176633434209126,10
gen-ip002,4,10,0.039106751463834744,0.0032544224814010994,11
gen-ip002,4,11,0.036915456446093065,-0.002191295017741679,10
gen-ip002,4,12,0.04152867210853035,0.0046132156624372825,11
gen-ip002,4,13,0.03704232239459737,-0.004486349713932976,10
gen-ip002,4,14,0.040877856321065324,0.003835533926467953,10
gen-ip002,4,15,0.044441086850006195,0.003563230528940871,15
gen-ip002,4,16,0.04425333980221709,-0.000187747047789108,13
gen-ip002,4,17,0.04300345348429019,-0.0012498863179268987,13
gen-ip002,4,18,0.04492880735259148,0.0019253538683012897,13
gen-ip002,4,19,0.046310116452453864,0.0013813090998623864,14
gen-ip002,4,20,0.044627488863613826,-0.0016826275888400383,11
mas74,4,0,2.473810414894194e-12,-7.9512069906484175,1
mas74,4,1,0.3047008000030135,0.30470080000053973,6
mas74,4,2,1.2413962436174468,0.9366954436144332,8
rlp1,4,0,5.2413769526839025e-12,-7.544303797418334,1
rlp1,4,1,5.2413769526839025e-12,0.0,1
rlp1,4,2,5.243400650349032e-12,2.0236976651293824e-15,2
rlp1,4,3,5.240365103851338e-12,-3.0355464976940736e-15,2
rlp1,4,4,5.2413769526839025e-12,1.0118488325646912e-15,1
rlp1,4,5,5.2413769526839025e-12,0.0,2
rlp1,4,6,5.2413769526839025e-12,0.0,1
rlp1,4,7,5.243400650349032e-12,2.0236976651293824e-15,2
rlp1,4,8,5.2413769526839025e-12,-2.0236976651293824e-15,1
rlp1,4,9,5.240365103851338e-12,-1.0118488325646912e-15,4
rlp1,4,10,5.2413769526839025e-12,1.0118488325646912e-15,1
rlp1,4,11,5.2413769526839025e-12,0.0,2
rlp1,4,12,5.2413769526839025e-12,0.0,1
rlp1,4,13,5.239353255018774e-12,-2.0236976651285746e-15,4
rlp1,4,14,5.238341406186209e-12,-1.0118488325646912e-15,2
rlp1,4,15,5.2413769526839025e-12,3.035546497693266e-15,3
rlp1,4,16,5.2413769526839025e-12,0.0,1
rlp1,4,17,5.242388801516467e-12,1.0118488325646912e-15,2
rlp1,4,18,5.2373295573536445e-12,-5.059244162822648e-15,3
rlp1,4,19,5.2413769526839025e-12,4.047395330257957e-15,3
rlp1,4,20,5.2413769526839025e-12,0.0,3
mad,4,0,0.0,0.0,1
mad,4,1,0.0,0.0,1
mad,4,2,0.0,0.0,2
mad,4,3,0.0,0.0,1
mad,4,4,0.0,0.0,2
mad,4,5,0.0,0.0,2
mad,4,6,0.0,0.0,2
mad,4,7,0.0,0.0,2
mad,4,8,0.0,0.0,2
mad,4,9,0.0,0.0,2
mad,4,10,0.0,0.0,2
mad,4,11,0.0,0.0,2
mad,4,12,0.0,0.0,2
mad,4,13,0.0,0.0,2
mad,4,14,0.0,0.0,2
mad,4,15,0.0,0.0,2
mad,4,16,0.0,0.0,2
mad,4,17,0.0,0.0,2
mad,4,18,0.0,0.0,2
mad,4,19,0.0,0.0,2
mad,4,20,0.0,0.0,2
graphdraw-domain,4,0,0.0,-1.8066723746982387,1
graphdraw-domain,4,1,0.0,0.0,1
graphdraw-domain,4,2,0.0,0.0,2
graphdraw-domain,4,3,0.0,0.0,1
graphdraw-domain,4,4,0.0,0.0,2
graphdraw-domain,4,5,0.0,0.0,1
graphdraw-domain,4,6,0.0,0.0,2
graphdraw-domain,4,7,0.0,0.0,1
graphdraw-domain,4,8,0.0,0.0,2
graphdraw-domain,4,9,0.0,0.0,1
graphdraw-domain,4,10,0.0,0.0,2
graphdraw-domain,4,11,0.0,0.0,1
graphdraw-domain,4,12,0.0,0.0,2
graphdraw-domain,4,13,0.0,0.0,1
graphdraw-domain,4,14,0.0,0.0,2
graphdraw-domain,4,15,0.0,0.0,1
graphdraw-domain,4,16,0.0,0.0,2
graphdraw-domain,4,17,0.0,0.0,1
graphdraw-domain,4,18,0.0,0.0,2
graphdraw-domain,4,19,0.0,0.0,1
graphdraw-domain,4,20,0.0,0.0,2
pk1,4,0,0.0,0.0,1
pk1,4,1,0.0,0.0,2
pk1,4,2,0.0,0.0,8
pk1,4,3,0.0,0.0,10
pk1,4,4,0.0,0.0,10
pk1,4,5,0.0,0.0,10
